Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID,
1,3M,Consumer discretionary,United States of America,GlobalGiving [NGO],cash,pledged,752000,"Donation of $376,000 from 3M staff plus dollar-for-dollar match from the 3M Foundation.","Public reporting
[https://news.3m.com/3Mers-step-up-to-help-in-Ukraine]",cd-1,US-EIN-300108263,
2,3M,Consumer discretionary,United States of America,unspecified or multiple recipients,cash,pledged,2000000,Commitment of at least $2 million to directly support relief efforts.,"Public reporting
[https://news.3m.com/3Mers-step-up-to-help-in-Ukraine]",cd-1,ro-149,
3,8x8 Inc.,Information technology,United States of America,Ukraine Humanitarian Fund (UHF),cash,paid,22520,Donation from American VoIP company.,"Bilateral - recipient report
[Confirmed email 31-May-22]",cd-2,ro-113,
4,Abbott Laboratories,Health care,United States of America,unspecified or multiple recipients,cash,pledged,2000000,"Donation to organizations including International Medical Corps, Americares and Project HOPE to deliver emergency and primary health care services. ","Public reporting
[https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html]",cd-3,ro-149,
5,AbbVie Inc.,Health care,United States of America,unspecified or multiple recipients,cash,pledged,1000000,Donation from American pharmaceutical company to nonprofit partners for medical care and supplies for Ukraine and Ukrainian refugees.,"Public reporting
[https://www.abbvie.com/ukraine.html]",cd-4,ro-149,
6,ABP Food Group Ltd.,Consumer staples,Ireland,unspecified or multiple recipients,cash,pledged,3224670,"The Goodman Foundation, in collaboration with ABP Food Group and the Parma Group (which includes Blackrock Health Group – Blackrock Clinic, Galway Clinic and Hermitage Clinic) is announcing a donation of €3 million to UNICEF, MSF and the ICRC.","Public reporting
[https://abpfoodgroup.com/news/crisis-donation-of-e3-million-announced/]",cd-5,ro-149,
7,Accenture,Financials,United States of America,unspecified or multiple recipients,cash,pledged,5000000,For nonprofit relief organizations working to help people in Ukraine and those who are being displaced. ,"Public reporting
[https://newsroom.accenture.com/news/accenture-to-discontinue-business-in-russia.htm]",cd-7,ro-149,
8,Acronis International GmbH,Information technology,Singapore,unspecified or multiple recipients,cash,pledged,500000,"The Acronis Cyber Foundation has released $500,000 in humanitarian assistance to those in need.","Public reporting
[https://www.acronis.com/en-gb/blog/posts/acronis-suspends-all-operations-in-russia/]",cd-8,ro-149,
9,Adobe Inc.,Information technology,United States of America,unspecified or multiple recipients,cash,pledged,2500000,"Series of grants totaling over $2.5 million USD to organizations such as International Rescue Committee, Reporters Without Borders, Save the Children and the Committee to Protect Journalists.","Public reporting
[https://blog.adobe.com/en/publish/2022/04/08/adobes-continuing-efforts-to-support-ukraine]",cd-9,ro-149,
10,"ADP, Inc.",Information Technology,United States of America,unspecified or multiple recipients,cash,pledged,1500000,"More than $1,500,000 through donations from the ADP Foundation and ADP employees to UNICEF USA, International Rescue Committee, International Medical Corps and U.S. Association for UNHCR (United Nations Refugee Agency).","Public reporting
[https://www.adp.com/about-adp/statement-on-ukraine.aspx]",cd-10,ro-149,
11,AGCO Agriculture Foundation,Industrials,United States of America,World Food Programme (WFP),cash,paid,100000,Donation from company-linked foundation to support emergency relief efforts to provide food assistance for families affected by the conflict inside Ukraine and neighboring countries. ,"Bilateral - recipient report
[Confirmed email 14-June-22]",cd-11,XM-DAC-41140,
12,Akelius Foundation,Real estate,Sweden,United Nations High Commissioner for Refugees (UNHCR),cash,paid,52000000,"Donation from foundation that owns thousands of rental properties across Europe, made in partnership with a matching grant from Sweden for UNHCR. ","Public reporting
[https://twitter.com/KellyTClements/status/1510195482475249666]",cd-12,XM-DAC-41121,
13,Alcoa Corporation,Materials,United States of America,International Rescue Committee (IRC) [NGO],cash,pledged,500000,"The Alcoa Foundation announced $500,000 in humanitarian aid to the International Rescue Committee.","Public reporting
[https://www.alcoa.com/foundation/en/stories/releases?id=2022/03/alcoa-foundation-announces-aid-to-help-people-impacted-by-the-conflict-in-ukraine]",cd-13,US-EIN-13-5660870,
14,Aldi Nord,Consumer staples,Germany,International Federation of Red Cross and Red Crescent Societies (IFRC),cash,paid,126443,"CHF 121,843 donated via Charities Aid Foundation","Bilateral - recipient report
http://www.ifrc.org/docs/appeals/Active/MGR65002.pdf 
[Confirmed web 25-May-22]",cd-14,XM-DAC-21018,
15,ALDI SOUTH Group,Consumer staples,Germany,Austrian Red Cross,cash,paid,526487,"Part of €5 million commitment. €500,000 cash donation.","Bilateral - donor report
[Confirmed email 5-May-22]

See also public reporting
[https://cr.aldisouthgroup.com/en/responsibility/news/aldi-partners-with-red-cross-caritas-sos-kinderdorf-distribute-humanitarian-relief-for-ukraine]",cd-15,ro-10,
16,ALDI SOUTH Group,Consumer staples,Germany,Caritas [NGO],cash,paid,421190,"Part of €5 million commitment. €400,000 cash donation.","Bilateral - donor report
[Confirmed email 5-May-22]

See also public reporting
[https://cr.aldisouthgroup.com/en/responsibility/news/aldi-partners-with-red-cross-caritas-sos-kinderdorf-distribute-humanitarian-relief-for-ukraine]",cd-15,ro-20,
17,ALDI SOUTH Group,Consumer staples,Germany,Diakonie [NGO],cash,paid,294833,"Part of €5 million commitment. €280,000 cash donation.","Bilateral - donor report
[Confirmed email 5-May-22]

See also public reporting
[https://cr.aldisouthgroup.com/en/responsibility/news/aldi-partners-with-red-cross-caritas-sos-kinderdorf-distribute-humanitarian-relief-for-ukraine]",cd-15,ro-28,
