Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes
[redacted] Donor A,Energy,United States of America,American Red Cross,cash,paid,2500000,Donation from Fortune 50 company. The company has requested that they not be named. Source: CONFIRMED OCHA 12-Apr-22.
[redacted] Donor A,Energy,United States of America,World Food Programme (WFP),cash,paid,2500000,Donation from Fortune 50 company. The company has requested that they not be named. Source: CONFIRMED OCHA 12-Apr-22.
3M,Consumer discretionary,United States of America,[multiple or not specified],cash,pledged,2752000,Employee giving and corporate match program plus contribution from the 3M Foundation. Source: https://news.3m.com/3Mers-step-up-to-help-in-Ukraine
Abbott Laboratories,Health care,United States of America,[multiple or not specified],cash,pledged,2000000,"Donation to humanitarian organizations including International Medical Corps, Americares and Project HOPE to deliver emergency and primary health care services. Source: https://www.abbott.com/corpnewsroom/sustainability/abbott-condems-the-war-and-violence-in-Ukraine.html"
Accenture,Financials,United States of America,[multiple or not specified],cash,pledged,5000000,To nonprofit relief organizations working to help people in Ukraine and those who are being displaced. Source: https://newsroom.accenture.com/news/accenture-to-discontinue-business-in-russia.htm
AGCO Agriculture Foundation,Industrials,United States of America,World Food Programme (WFP),cash,paid,100000,Donation from company-linked private foundation to support emergency relief efforts to provide food assistance for families affected by the conflict inside Ukraine and neighboring countries. Source: CONFIRMED WFP 31-Mar-22.
Akelius Foundation,Real estate,Sweden,United Nations High Commissioner for Refugees (UNHCR),cash,paid,52000000,"Donation from foundation that owns thousands of rental properties across Europe, made in partnership with a matching grant from Sweden for UNHCR. Source: https://twitter.com/KellyTClements/status/1510195482475249666"
ALDI SOUTH Group,Consumer staples,Germany,[multiple or not specified],cash,pledged,5451195,"ALDI SOUTH Group has pledged €5 million in donations and will initially partner with the Red Cross, Caritas and SOS-Kinderdorf to distribute humanitarian aid across the Ukraine and neighbouring countries. Source: https://cr.aldisouthgroup.com/en/responsibility/news/aldi-partners-with-red-cross-caritas-sos-kinderdorf-distribute-humanitarian-relief-for-ukraine"
Allianz SE,Financials,Germany,[multiple or not specified],cash,pledged,9807210,"€10 million available to support humanitarian efforts for Ukraine, along with €2.5 million to match employee donations. The first €1 million will go to the German Red Cross. Source: https://twitter.com/Allianz/status/1498681558374490112"
Allianz SE,Financials,Germany,German Red Cross,cash,pledged,1089690,"€10 million available to support humanitarian efforts for Ukraine, along with €2.5 million to match employee donations. The first €1 million will go to the German Red Cross. Source: https://twitter.com/Allianz/status/1498681558374490112"
"Amazon.com, Inc.",Information technology,United States of America,[multiple or not specified],cash,pledged,5000000,"Donating $5 million to organizations that are providing critical support on the ground, including UNICEF, UNHCR, World Food Program, Red Cross, Polska Akcja Humanitarna, and Save the Children. Source: https://www.aboutamazon.com/news/community/amazon-is-working-with-ngos-and-employees-to-offer-immediate-support-to-the-people-of-ukraine"
"Amazon.com, Inc.",Information technology,United States of America,International Organization for Migration (IOM),in-kind,pledged,50000,"USD 50,000 in-kind donations of select items from IOM needs assessment. Source: CONFIRMED IOM 29-Mar-22."
"Amazon.com, Inc.",Information technology,United States of America,World Food Programme (WFP),in-kind,paid,180000,In-kind donation of office and storage space. Source: CONFIRMED WFP 31-Mar-22.
American Express Company,Financials,United States of America,American Red Cross,cash,pledged,250000,Donation to support coordinated relief efforts by the International Federation of Red Cross and Red Crescent Societies (IFRC) and other Red Cross partners who are responding to urgent needs and providing technical assistance on the ground in Ukraine. Source: https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis/.
American Express Company,Financials,United States of America,International Medical Corps (IMC) [NGO],cash,pledged,250000,Donation to support mobile medical teams in Ukraine to provide essential emergency and primary health services; mental health and psychosocial support services; and COVID-19 awareness and prevention services to help keep affected populations safe from the pandemic. Source: https://about.americanexpress.com/all-news/news-details/2022/American-Express-Response-to-the-Ukraine-Crisis/.
