Transaction ID,Private sector donor,Business sector,Donor country of registration,Recipient,Donation type,Donation status,Est USD value,Notes,Source,Donor ID,Recipient ID
EQ-2023-000015-TUR-0001,Ziraat Bank,Financials,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,1060000000,20 billion Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-645,ro-198
EQ-2023-000015-TUR-0002,Accenture,Financials,United States of America,Unspecified (see notes),cash,pledged,1000000,Grant commitment to humanitarian relief agencies. Does not include employee matching campaign currently underway.,Public reporting: https://www.uschamberfoundation.org/aid-event/earthquakes-t-rkiye-and-syria/accenture-earthquakes-t-rkiye-and-syria,do-7,ro-2
EQ-2023-000015-TUR-0003,Abbott Laboratories,Health care,United States of America,Multiple (see notes),cash,pledged,1500000,"Donation to CARE, Direct Relief, and International Medical Corps. We have reached out to ask for the breakdown by organization.",Public reporting: https://www.abbott.com/corpnewsroom/sustainability/helping-families-affected-by-earthquakes.html,do-3,ro-1
EQ-2023-000015-TUR-0004,Turkish Enterprise and Business Confederation (TÜRKONFED),Industrials,Türkiye,Multiple (see notes),in-kind,paid,11277089,"TÜRKONFED represents over 60,000 small and medium enterprises in Türkiye. Their members have delivered in-kind donations, critical equipment, and logistical services worth over $11 million to affected areas as of 20 February 2023.",Bilateral report from donor (20-Feb-23),do-638,ro-1
EQ-2023-000015-TUR-0005,VakıfBank,Financials,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,635000000,12 billion Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-641,ro-198
EQ-2023-000015-TUR-0006,Halkbank,Financials,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,370000000,7 billion Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-614,ro-198
EQ-2023-000015-TUR-0007,Turkcell İletişim Hizmetleri A.Ş.,Communications Services,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,185000000,3.5 billion Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-636,ro-198
EQ-2023-000015-TUR-0008,Türk Telekom,Communications Services,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,106000000,2 billion Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-635,ro-198
EQ-2023-000015-TUR-0009,Cengiz Holding A.S.,Industrials,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,132000000,2.5 billion Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-605,ro-198
EQ-2023-000015-TUR-0010,Kalyon Group,Industrials,Türkiye,Ministry of the Interior Disaster and Emergency Management Presidency (AFAD) [government],cash,paid,50260000,950 million Turkish liras donated to the Turkiye One Heart / Türkiye Tek Yürek fundraising campaign organized by AFAD.,Public reporting: https://www.dailysabah.com/business/turkiyes-massive-fundraising-campaign-for-quake-survivors-tops-6b/news,do-620,ro-198
