Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
do-1,3M
do-15,ALDI SOUTH Group
do-3,Abbott Laboratories
do-7,Accenture
do-600,Aegon N.V.
do-17,Allianz SE
do-20,"Amazon.com, Inc."
do-22,AmerisourceBergen
do-23,Amgen Inc.
do-601,Arvato
do-56,BASF SE
do-57,Bayer AG
do-602,Baykar Defense
do-63,Bloomberg L.P.
do-69,Boeing 
do-603,Borsa Istanbul
do-604,Caterpillar Inc.
do-605,Cengiz Holding A.S.
do-87,"Chegg, Inc."
do-606,Chevron Corporation
do-607,Cigna
do-608,"Citibank, N.A."
do-520,Coloplast A/S
do-115,Danone S.A.
do-609,Edgewell Personal Care
do-610,Edison International
do-144,ExxonMobil
do-613,FUJIFILM Holdings Corporation
do-611,FedEx Corporation
do-612,Flexport Inc.
do-521,Freshfields Service Company
do-172,GE HealthCare
do-614,Halkbank
do-615,Hana Financial Group Inc.
do-486,Henkel AG & Co. KGaA
do-522,Heubach Colorants Germany GMBH
do-196,"Hitachi, Ltd."
do-616,"Honda Motor Co., Ltd."
do-617,Hyundai Assan Otomotiv Sanayi ve Ticaret A.Ş.
do-618,"Hyundai Marine & Fire Insurance Co., Ltd."
do-200,Hyundai Motor Company
do-204,IKEA Foundation
do-217,Johnson & Johnson
do-231,KPMG LLP
do-620,Kalyon Group
do-621,Kellogg Company
do-623,"MEBO International, Inc."
do-245,Marks & Spencer
do-248,Mastercard
do-622,McDonald's Corporation
do-252,Mercedes-Benz
do-255,Metro AG
do-261,Mitsubishi Electric
do-624,"Moderna, Inc."
do-276,New York Life
do-278,Nike Foundation
do-281,Novartis AG
do-282,Novelis Corporation
do-283,Novo Nordisk A/S
do-628,POSCO
do-625,"Palo Alto Networks, Inc."
do-626,Panasonic Holdings Corporation
do-627,Pearson Education
do-295,"PepsiCo, Inc."
do-302,Porsche AG
do-303,PricewaterhouseCoopers
do-304,Procter & Gamble
do-629,"Prudential Financial, Inc."
do-630,Ripple Labs Inc.
do-312,Rockwell Automation
do-313,Royal Bank of Canada
do-321,Samsung Electronics
do-443,Schwarz Group
do-503,Shell plc
do-332,Siemens
do-631,Siemens Healthineers
do-342,Sony Group
do-632,Starbucks Corporation
do-633,Sumitomo Corporation
do-361,The Coca-Cola Company
do-370,Toyota Motor Corporation
do-634,Trane Technologies
do-636,Turkcell İletişim Hizmetleri A.Ş.
do-637,Turkish Airlines
do-638,Turkish Enterprise and Business Confederation (TÜRKONFED)
do-639,Turkish Football Federation
do-635,Türk Telekom
do-640,Türkiye Sigorta
do-374,"Uber Technologies, Inc."
do-418,"United Parcel Service, Inc."
do-641,VakıfBank
do-395,Volkswagen AG
do-642,Warner Bros. Entertainment Inc.
do-643,Xerox Holdings Corporation
do-644,Yardi Systems
do-645,Ziraat Bank
