Reporting org id,Reporting org name,Reporting org type,Provider org id,Provider org name,Provider org type,Receiver org id,Receiver org name,Receiver org type,Humanitarian?,Strict?,Transaction direction,Total money,Notes
#org+id+reporting,#org+name+reporting,#org+reporting+type,#org+id+provider,#org+name+provider,#org+type+provider,#org+id+receiver,#org+name+receiver,#org+type+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_direction,#value+total,#description
cd-445,3i Group plc,70,,,,XM-DAC-41122,United Nations Children's Fund (UNICEF),,1,1,outgoing,658762,Cash donation to UNICEF National Committee United Kingdom
cd-1,3M,70,,,,US-EIN-300108263,GlobalGiving [NGO],,1,1,outgoing,752000,"Donation of $376,000 from 3M staff plus dollar-for-dollar match from the 3M Foundation."
cd-1,3M,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,2000000,Commitment of at least $2 million to directly support relief efforts.
cd-2,8x8 Inc.,70,,,,ro-113,Ukraine Humanitarian Fund (UHF),,1,1,outgoing,22520,Donation from American VoIP company.
cd-3,Abbott Laboratories,70,,,,ro-7,Americares [NGO],,1,1,outgoing,250000,Cash donation for emergency and primary health care services.
cd-3,Abbott Laboratories,70,,,,GB-CHC-292506,CARE International [NGO],,1,1,outgoing,1000000,Cash donation for emergency and primary health care services.
cd-3,Abbott Laboratories,70,,,,ro-29,Direct Relief [NGO],,1,1,outgoing,1200000,Product donation of nutritionals for emergency response.
cd-3,Abbott Laboratories,70,,,,ro-54,International Medical Corps (IMC) [NGO],,1,1,outgoing,3000000,Cash donation for emergency and primary health care services.
cd-3,Abbott Laboratories,70,,,,ro-87,Project Hope [NGO],,1,1,outgoing,750000,Cash donation for emergency and primary health care services.
cd-3,Abbott Laboratories,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,1100000,"Product donation to multiple recipients including Ukrainian Ministry of Health and other partners in medicines, nutritionals, cardiac devices, diabetes care products and diagnostic tests. "
cd-4,AbbVie Inc.,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,1000000,Donation from American pharmaceutical company to nonprofit partners for medical care and supplies for Ukraine and Ukrainian refugees.
cd-5,ABP Food Group Ltd.,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,3224670,"The Goodman Foundation, in collaboration with ABP Food Group and the Parma Group (which includes Blackrock Health Group – Blackrock Clinic, Galway Clinic and Hermitage Clinic) is announcing a donation of €3 million to UNICEF, MSF and the ICRC."
cd-7,Accenture,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,5000000,For nonprofit relief organizations working to help people in Ukraine and those who are being displaced. 
cd-8,Acronis International GmbH,70,,,,ro-149,unspecified or multiple recipients,,1,1,outgoing,500000,"The Acronis Cyber Foundation has released $500,000 in humanitarian assistance to those in need."
cd-446,Action,70,,,,XM-DAC-41122,United Nations Children's Fund (UNICEF),,1,1,outgoing,1086957,Cash donation to UNICEF National Committee Netherlands
