Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
do-1,3M
do-445,3i Group plc
do-2,8x8 Inc.
do-5,ABP Food Group Ltd.
do-10,"ADP, Inc."
do-447,"AEON Co., Ltd."
do-11,AGCO Agriculture Foundation
do-15,ALDI SOUTH Group
do-36,ASIS International
do-429,ATB Corporation
do-40,ATN Corp.
do-480,AVIV Group GmbH
do-44,AXA
do-4,AbbVie Inc.
do-3,Abbott Laboratories
do-7,Accenture
do-8,Acronis International GmbH
do-446,Action
do-9,Adobe Inc.
do-12,Akelius Foundation
do-13,Alcoa Corporation
do-14,Aldi Nord
do-16,Aldwin Callen
do-17,Allianz SE
do-18,Alnylam Pharmaceuticals Inc.
do-19,Amadeus IT Group
do-20,"Amazon.com, Inc."
do-21,American Express Company
do-22,AmerisourceBergen
do-23,Amgen Inc.
do-24,Analog Devices Incorporated
do-484,Andreas Stihl AG & Co KG
do-25,AngloAmerican Foundation
do-26,Ann and Gordon Getty Foundation
do-30,Arc'teryx
do-27,Arcadia Fund
do-28,Arcadis NV
do-492,ArcelorMittal S.A.
do-29,Archer-Daniels-Midland Company
do-31,Ares Management Corporation
do-32,Argyle Systems Inc 
do-33,Arista
do-34,Armani Group 
do-35,Asda Stores Ltd
do-516,Assicurazioni Generali S.p.A.
do-428,Astarta Holding
do-37,Astellas Pharma Inc.
do-38,AstraZeneca
do-39,Atlas Copco Group
do-41,Audi AG
do-42,"Aurora World, Inc."
do-44,Axa
do-506,B. Metzler seel. Sohn & Co. Aktiengesellschaft
do-56,BASF SE
do-58,BBVA
do-60,BHP Foundation
do-67,BNY Mellon
do-74,BP plc
do-45,Backcountry
do-46,Bain & Company
do-47,Baker Creek Heirloom Seed Company
do-48,Balenciaga SAS
do-49,Banco Santander S.A.
do-50,Bandai Namco
do-51,Bank of America
do-52,Bank of Ireland
do-54,Barratt Foundation
do-55,Barry Callebaut AG
do-474,Baupost Group
do-57,Bayer AG
do-431,Bayerische Motoren Werke AG (BMW)
do-519,Beiersdorf AG
do-59,BentallGreenOak
do-511,Bertelsmann SE & Co. KGaA
do-61,BioNTech SE
do-489,Biogen Inc.
do-430,Biosphere Corporation
do-62,Blockchain Charity Foundation USA
do-63,Bloomberg L.P.
do-64,Bloomberg Philanthropies
do-65,Bloomsbury Publishing
do-66,"Blue Bottle Coffee, Inc."
do-68,Boehringer Ingelheim International GmbH
do-69,Boeing
do-70,Bolt Technology OÜ
do-71,Bombardier Inc.
do-490,Booking Holdings Inc.
do-72,Booz-Allen & Hamilton
do-73,Boston Consulting Group
do-75,Bridgestone Corporation
do-76,Bristol Myers Squibb
do-77,Burger King
do-85,CD PROJEKT Group
do-96,CNH Industrial International SA
do-107,CSL Behring
do-108,CTP
do-110,CVC
do-78,Camlog Biotechnologies GmbH
do-79,Canada Goose
do-80,Canadian Imperial Bank of Commerce
do-81,Canadian Pacific Railway
do-82,Canva
do-448,Capgemini SE
do-420,"Cargill, Inc."
do-83,Cargolux
do-84,Carlsberg A/S
do-86,Chapman and Cutler LLP
do-87,"Chegg, Inc."
do-88,Chellaram Foundation
do-89,Chesapeake Energy
do-90,Chiesi Farmaceutici S.p.A
do-91,Chubb Limited
do-92,Circle K
do-93,"Cisco Systems, Inc."
do-94,"Civitas Resources, Inc."
do-95,Clorox Company
do-97,Coca-Cola Europacific Partners plc
do-98,Collette Travel Services
do-99,Columbia Sportswear
do-415,Columbus Energy
do-100,ConocoPhillips
do-101,Continental Development Corporation
do-102,Coyote Logistics
do-104,Cra-Z-Art
do-103,Crankstart Foundation
do-105,CropLife Europe
do-106,Crush Music
do-109,Currency.com
do-111,Cytel Inc.
do-112,Czapek & Cie SA
do-450,DNB
do-130,DST Global
do-435,DTEK Group
do-514,Dachser Group SE & Co. KG
do-113,"Daiichi Sankyo Company, Limited"
do-114,Daily Mail and General Trust
do-449,Daimler Truck AG
do-115,Danone S.A.
do-433,Darnista
do-117,Decathlon
