Month,Reporting org id,Reporting org name,Reporting org type,Sector,Receiver org id,Receiver org name,Humanitarian?,Strict?,Transaction type,Activity id,Net money,Total money,Notes
#date+month,#org+id,#org+name,#org+type,#sector,#org+id+receiver,#org+name+receiver,#indicator+bool+humanitarian,#indicator+bool+strict,#x_transaction_type,#activity+code,#value+net,#value+total,#description
2025-04,do-445,3i Group plc,70,Financials,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,spending,710,658762,658762,Cash donation to UNICEF National Committee United Kingdom
2025-04,do-1,3M,70,Consumer discretionary,US-EIN-300108263,GlobalGiving [NGO],1,1,commitments,1,752000,752000,"Donation of $376,000 from 3M staff plus dollar-for-dollar match from the 3M Foundation."
2025-04,do-1,3M,70,Consumer discretionary,ro-2,Unspecified (see notes),1,1,commitments,2,2000000,2000000,Commitment of at least $2 million to directly support relief efforts.
2025-04,do-2,8x8 Inc.,70,Information technology,ro-113,Ukraine Humanitarian Fund (UHF),1,1,spending,3,22520,22520,Donation from American VoIP company.
2025-04,do-3,Abbott Laboratories,70,Health care,ro-7,Americares [NGO],1,1,spending,803,250000,250000,Cash donation for emergency and primary health care services.
2025-04,do-3,Abbott Laboratories,70,Health care,GB-CHC-292506,CARE International [NGO],1,1,spending,801,1000000,1000000,Cash donation for emergency and primary health care services.
2025-04,do-3,Abbott Laboratories,70,Health care,ro-29,Direct Relief [NGO],1,1,spending,804,1200000,1200000,Product donation of nutritionals for emergency response.
2025-04,do-3,Abbott Laboratories,70,Health care,ro-54,International Medical Corps (IMC) [NGO],1,1,spending,800,3000000,3000000,Cash donation for emergency and primary health care services.
2025-04,do-3,Abbott Laboratories,70,Health care,ro-87,Project Hope [NGO],1,1,spending,802,750000,750000,Cash donation for emergency and primary health care services.
2025-04,do-3,Abbott Laboratories,70,Health care,ro-2,Unspecified (see notes),1,1,spending,4,1100000,1100000,"Product donation to multiple recipients including Ukrainian Ministry of Health and other partners in medicines, nutritionals, cardiac devices, diabetes care products and diagnostic tests. "
2025-04,do-4,AbbVie Inc.,70,Health care,ro-2,Unspecified (see notes),1,1,commitments,5,1000000,1000000,Donation from American pharmaceutical company to nonprofit partners for medical care and supplies for Ukraine and Ukrainian refugees.
2025-04,do-5,ABP Food Group Ltd.,70,Consumer staples,ro-1,Multiple (see notes),1,1,commitments,6,3224670,3224670,"The Goodman Foundation, in collaboration with ABP Food Group and the Parma Group (which includes Blackrock Health Group – Blackrock Clinic, Galway Clinic and Hermitage Clinic) is announcing a donation of €3 million to UNICEF, MSF and the ICRC."
2025-04,do-7,Accenture,70,Financials,ro-2,Unspecified (see notes),1,1,commitments,7,5000000,5000000,For nonprofit relief organizations working to help people in Ukraine and those who are being displaced. 
2025-04,do-8,Acronis International GmbH,70,Information technology,ro-2,Unspecified (see notes),1,1,commitments,8,500000,500000,"The Acronis Cyber Foundation has released $500,000 in humanitarian assistance to those in need."
2025-04,do-446,Action,70,Consumer staples,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,spending,711,1086957,1086957,Cash donation to UNICEF National Committee Netherlands
2025-04,do-9,Adobe Inc.,70,Information technology,ro-1,Multiple (see notes),1,1,commitments,9,2500000,2500000,"Series of grants totaling over $2.5 million USD to organizations such as International Rescue Committee, Reporters Without Borders, Save the Children and the Committee to Protect Journalists."
2025-04,do-10,"ADP, Inc.",70,Information Technology,ro-1,Multiple (see notes),1,1,commitments,10,1600000,1600000,"Donations from the ADP Foundation and ADP employees to UNICEF USA, International Rescue Committee, International Medical Corps and USA for UNHCR."
2025-04,do-447,"AEON Co., Ltd.",70,Consumer staples,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,spending,712,855505,855505,Cash donation to UNICEF National Committee Japan from AEON 1% Club Foundation.
2025-04,do-11,AGCO Agriculture Foundation,70,Industrials,XM-DAC-41140,World Food Programme (WFP),1,1,spending,11,100000,100000,Donation from company-linked foundation to support emergency relief efforts to provide food assistance for families affected by the conflict inside Ukraine and neighboring countries. 
2025-04,do-12,Akelius Foundation,70,Real estate,XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),1,1,spending,12,52000000,52000000,"Donation from foundation that owns thousands of rental properties across Europe, made in partnership with a matching grant from Sweden for UNHCR. "
2025-04,do-13,Alcoa Corporation,70,Materials,US-EIN-13-5660870,International Rescue Committee (IRC) [NGO],1,1,commitments,13,500000,500000,"The Alcoa Foundation announced $500,000 in humanitarian aid to the International Rescue Committee."
2025-04,do-14,Aldi Nord,70,Consumer staples,XM-DAC-21018,International Federation of Red Cross and Red Crescent Societies (IFRC),1,1,spending,14,126443,126443,"CHF 121,843 donated via Charities Aid Foundation"
2025-04,do-14,Aldi Nord,70,Consumer staples,XM-DAC-41122,United Nations Children's Fund (UNICEF),1,1,spending,713,961798,961798,Cash donation to UNICEF National Committee Germany
2025-04,do-15,ALDI SOUTH Group,70,Consumer staples,ro-10,Austrian Red Cross,1,1,spending,15,526487,526487,"Part of €5 million commitment. €500,000 cash donation."
2025-04,do-15,ALDI SOUTH Group,70,Consumer staples,ro-20,Caritas [NGO],1,1,spending,16,421190,421190,"Part of €5 million commitment. €400,000 cash donation."
2025-04,do-15,ALDI SOUTH Group,70,Consumer staples,ro-28,Diakonie [NGO],1,1,spending,17,294833,294833,"Part of €5 million commitment. €280,000 cash donation."
2025-04,do-15,ALDI SOUTH Group,70,Consumer staples,ro-99,SOS Children's Villages [NGO],1,1,spending,18,315892,315892,"Part of €5 million commitment. €300,000 cash donation."
